Type                                  Module                      Label             Process        Full Name                                              Split level
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsOMTFNeg"   "HLT"          l1tMuonBXVector_simGmtStage2Digis_imdMuonsOMTFNeg_HLT     1
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsOMTFPos"   "HLT"          l1tMuonBXVector_simGmtStage2Digis_imdMuonsOMTFPos_HLT     1
BXVector<l1t::MuonShower>             "simGmtShowerDigis"         ""                "HLT"          l1tMuonShowerBXVector_simGmtShowerDigis__HLT           1
BXVector<l1t::RegionalMuonCand>       "simBmtfDigis"              "BMTF"            "HLT"          l1tRegionalMuonCandBXVector_simBmtfDigis_BMTF_HLT      1
BXVector<l1t::RegionalMuonCand>       "simKBmtfDigis"             "BMTF"            "HLT"          l1tRegionalMuonCandBXVector_simKBmtfDigis_BMTF_HLT     1
BXVector<l1t::RegionalMuonCand>       "simEmtfDigis"              "EMTF"            "HLT"          l1tRegionalMuonCandBXVector_simEmtfDigis_EMTF_HLT      1
BXVector<l1t::RegionalMuonCand>       "simOmtfDigis"              "OMTF"            "HLT"          l1tRegionalMuonCandBXVector_simOmtfDigis_OMTF_HLT      1
BXVector<l1t::RegionalMuonCand>       "simBmtfDigis"              "UnsortedBMTF"    "HLT"          l1tRegionalMuonCandBXVector_simBmtfDigis_UnsortedBMTF_HLT     1
BXVector<l1t::RegionalMuonShower>     "simEmtfShowers"            "EMTF"            "HLT"          l1tRegionalMuonShowerBXVector_simEmtfShowers_EMTF_HLT     1
BXVector<l1t::Tau>                    "simCaloStage2Digis"        ""                "HLT"          l1tTauBXVector_simCaloStage2Digis__HLT                 1
BXVector<l1t::Tau>                    "l1tCaloJet"                "L1CaloTauCollectionBXV"   "HLT"          l1tTauBXVector_l1tCaloJet_L1CaloTauCollectionBXV_HLT     1
BXVector<l1t::Tau>                    "simCaloStage2Digis"        "MP"              "HLT"          l1tTauBXVector_simCaloStage2Digis_MP_HLT               1
CrossingFramePlaybackInfoNew          "mix"                       ""                "HLT"          CrossingFramePlaybackInfoNew_mix__HLT                  1
